series,budget,count,total,success_rate
m4,1000.0,11,1400,0.007857142857142858
m4,10000.0,42,1400,0.03
m4,100000.0,65,1400,0.04642857142857143
m4,1000000.0,124,1400,0.08857142857142856
m4,100000000.0,250,1400,0.17857142857142858
m4,10000000000.0,376,1400,0.26857142857142857
m5,1000.0,3,1400,0.002142857142857143
m5,10000.0,17,1400,0.012142857142857143
m5,100000.0,50,1400,0.03571428571428571
m5,1000000.0,125,1400,0.08928571428571429
m5,100000000.0,372,1400,0.26571428571428574
m5,10000000000.0,725,1400,0.5178571428571429
predicted_indicpass,1000.0,13,1400,0.009285714285714286
predicted_indicpass,10000.0,79,1400,0.056428571428571425
predicted_indicpass,100000.0,211,1400,0.15071428571428572
predicted_indicpass,1000000.0,351,1400,0.2507142857142857
predicted_indicpass,100000000.0,723,1400,0.5164285714285715
predicted_indicpass,10000000000.0,1039,1400,0.7421428571428571
predicted_pcfg,1000.0,13,1400,0.009285714285714286
predicted_pcfg,10000.0,80,1400,0.05714285714285714
predicted_pcfg,100000.0,176,1400,0.12571428571428572
predicted_pcfg,1000000.0,308,1400,0.22
predicted_pcfg,100000000.0,655,1400,0.46785714285714286
predicted_pcfg,10000000000.0,1045,1400,0.7464285714285714
predicted_baseline,1000.0,94,1400,0.06714285714285714
predicted_baseline,10000.0,153,1400,0.10928571428571429
predicted_baseline,100000.0,318,1400,0.22714285714285715
predicted_baseline,1000000.0,517,1400,0.3692857142857143
predicted_baseline,100000000.0,877,1400,0.6264285714285714
predicted_baseline,10000000000.0,1116,1400,0.7971428571428572
