group_kind,group,model,attacker,samples,coverage,accuracy,precision,recall,f1,mcc,roc_auc
category,english,indicpass,m4,200,0.605,0.63,0.408,1.0,0.5795454545454546,0.4531767067235236,0.9964469009080142
category,english,indicpass,m5,200,1.0,0.565,0.304,1.0,0.4662576687116564,0.37515428924742517,0.8427550357374919
category,english,pcfg,m4,200,0.605,0.73,0.4857142857142857,1.0,0.6538461538461539,0.5564922326372745,0.9320305303329386
category,english,pcfg,m5,200,1.0,0.665,0.3619047619047619,1.0,0.5314685314685315,0.46068221272042836,0.8763807667316439
category,english,baseline,m4,200,0.605,0.255,0.255,1.0,0.4063745019920319,None,0.8884721673904461
category,english,baseline,m5,200,1.0,0.19,0.19,1.0,0.319327731092437,None,0.8318713450292398
category,indic_word,indicpass,m4,200,0.41,0.38,0.37055837563451777,1.0,0.5407407407407407,0.09355932586297044,0.8777909610613742
category,indic_word,indicpass,m5,200,1.0,0.91,0.9086294416243654,1.0,0.9521276595744681,0.36028350773569684,0.6292897047086992
category,indic_word,pcfg,m4,200,0.41,0.38,0.37055837563451777,1.0,0.5407407407407407,0.09355932586297044,0.5600798187897745
category,indic_word,pcfg,m5,200,1.0,0.91,0.9086294416243654,1.0,0.9521276595744681,0.36028350773569684,0.8112529928172386
category,indic_word,baseline,m4,200,0.41,0.355,0.3541666666666667,0.9315068493150684,0.5132075471698113,-0.11023878861465547,0.48241829360371047
category,indic_word,baseline,m5,200,1.0,0.935,0.9322916666666666,1.0,0.9649595687331537,0.595951952894468,0.6493748337323756
category,indic_numeric,indicpass,m4,200,0.46,0.505,0.0,None,None,None,None
category,indic_numeric,indicpass,m5,200,0.995,0.58,0.15151515151515152,1.0,0.2631578947368421,0.2876092535352135,0.8117117117117117
category,indic_numeric,pcfg,m4,200,0.46,0.515,0.0,None,None,None,None
category,indic_numeric,pcfg,m5,200,0.995,0.59,0.15463917525773196,1.0,0.2678571428571429,0.2934218902604823,0.9169369369369369
category,indic_numeric,baseline,m4,200,0.46,0.29,0.0,None,None,None,None
category,indic_numeric,baseline,m5,200,0.995,0.365,0.1056338028169014,1.0,0.19108280254777069,0.1819824845058459,0.6772972972972973
category,indic_year,indicpass,m4,200,0.475,0.615,0.5276073619631901,1.0,0.6907630522088353,0.41381274255432693,0.9065687474500204
category,indic_year,indicpass,m5,200,1.0,0.565,0.4662576687116564,1.0,0.6359832635983264,0.3729950028024168,0.6152376910016978
category,indic_year,pcfg,m4,200,0.475,0.64,0.57,0.6627906976744186,0.6129032258064515,0.2827850071363719,0.8055895552835577
category,indic_year,pcfg,m5,200,1.0,0.73,0.61,0.8026315789473685,0.6931818181818182,0.47384924497243924,0.7353565365025467
category,indic_year,baseline,m4,200,0.475,0.44,0.42528735632183906,0.8604651162790697,0.5692307692307692,-0.024625264198269343,0.5680844553243574
category,indic_year,baseline,m5,200,1.0,0.51,0.4367816091954023,1.0,0.608,0.30262723049610996,0.733446519524618
category,indic_symbol,indicpass,m4,200,0.49,0.555,0.31007751937984496,1.0,0.47337278106508873,0.37094056023142874,0.9596875
category,indic_symbol,indicpass,m5,200,0.995,0.67,0.4883720930232558,1.0,0.65625,0.5030884077568788,0.8673965936739659
category,indic_symbol,pcfg,m4,200,0.49,0.56,0.3125,1.0,0.47619047619047616,0.375,0.76953125
category,indic_symbol,pcfg,m5,200,0.995,0.675,0.4921875,1.0,0.6596858638743456,0.5085940259299934,0.9504692387904067
category,indic_symbol,baseline,m4,200,0.49,0.52,0.28125,0.9,0.4285714285714286,0.2708333333333333,0.777421875
category,indic_symbol,baseline,m5,200,0.995,0.675,0.4921875,1.0,0.6596858638743456,0.5085940259299934,0.8689027922604565
category,mixed,indicpass,m4,200,0.195,0.95,0.0,None,None,None,None
category,mixed,indicpass,m5,200,0.43,0.955,0.1,1.0,0.18181818181818182,0.3089941535606675,0.9798994974874372
