model,attacker,budget,samples,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc
indicpass,m4,1000.0,1400,0.9985714285714286,0.8461538461538461,1.0,0.9166666666666666,0.9992800575953924,0.9192037217529692,0.9993455069049022,0.9159497068587977
indicpass,m4,10000.0,1400,0.9735714285714285,0.5316455696202531,1.0,0.6942148760330578,0.9863770250368189,0.7191386382692891,0.9873676274633565,0.6382144644572576
indicpass,m4,100000.0,1400,0.8928571428571429,0.2985781990521327,0.9692307692307692,0.45652173913043476,0.9291846730048977,0.5048232587517918,0.9618380870066263,0.5280059495583757
indicpass,m4,1000000.0,1400,0.8378571428571429,0.35327635327635326,1.0,0.5221052631578947,0.9110501567398119,0.5389142796154398,0.9675523308726868,0.7183278967258002
indicpass,m4,100000000.0,1400,0.6621428571428571,0.3457814661134163,1.0,0.513874614594039,0.7943478260869565,0.4511762911582228,0.920168695652174,0.6612115721700819
indicpass,m4,10000000000.0,1400,0.5264285714285715,0.3618864292589028,1.0,0.5314487632508834,0.67626953125,0.35718216991110596,0.836380329537899,0.6125562670244309
indicpass,m5,1000.0,1400,0.99,0.07692307692307693,0.3333333333333333,0.125,0.6623717489859222,0.15656309141653993,0.9921259842519685,0.2536231884057971
indicpass,m5,10000.0,1400,0.9457142857142857,0.12658227848101267,0.5882352941176471,0.20833333333333334,0.7691718769937477,0.2555231630895775,0.9673982391221131,0.27253753404648545
indicpass,m5,100000.0,1400,0.885,0.23696682464454977,1.0,0.3831417624521073,0.9403703703703703,0.4568438865393976,0.9557111111111111,0.3625563193468444
indicpass,m5,1000000.0,1400,0.8271428571428572,0.3333333333333333,0.936,0.49159663865546216,0.8762352941176471,0.49506055675944266,0.9422086274509804,0.5594346610320672
indicpass,m5,100000000.0,1400,0.7492857142857143,0.5145228215767634,1.0,0.6794520547945205,0.8292801556420233,0.5821033495354062,0.9222626668340237,0.7681162999902734
